Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.6 i-VTEC Premium	 63.500 TL 	2009	1595 cc	88.000 km	Benzin	Civic	Galeriden	Honda	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265360	İSTANBUL / PENDİK / ORTA MAHALLESİ	
1.4 TDCi Sport	 16.000 TL 	2005	1399 cc	231.000 km	Dizel	Fiesta	Galeriden	Ford	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	11287055	ANTALYA / ALANYA / HACET MAHALLESİ	
1.3 CDTI Essentia	 30.000 TL 	2004	1248 cc	190.000 km	Dizel	Corsa	Sahibinden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263837	İZMİR / BUCA / MERKEZ	
1.6 THP DSport	 102.990 TL 	2015	1401 - 1600 cm3	115.000 km	Benzin	DS5	Galeriden	DS Automobiles	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265643	İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ	
1.4 D-4D Advance	 88.750 TL 	2015	1201 - 1400 cm3	76.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	3 boyalı	Yarı Otomatik	14 Eylül 2019	12265548	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 Authentique	 26.500 TL 	2008	1390 cc	208.000 km	LPG & Benzin	Symbol	Sahibinden	Renault	Takasa Uygun	8 boyalı	Düz	13 Eylül 2019	12263839	KAYSERİ / KOCASİNAN / MEVLANA MAHALLESİ	
1.5 Tekna	 27.000 TL 	2005	1498 cc	210.000 km	LPG & Benzin	Almera	Sahibinden	Nissan	Takasa Uygun Değil	2 değişen, 7 boyalı	Düz	14 Eylül 2019	12264921	İSTANBUL / SANCAKTEPE / MECLİS MAHALLESİ	
316i Standart	 40.000 TL 	2000	1595 cc	300 km	LPG & Benzin	3 Serisi	Sahibinden	BMW	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264189	MUŞ / MALAZGİRT / SALTUKGAZİ MAHALLESİ	
1.6 LS	 34.250 TL 	2001	1590 cc	229.000 km	Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	3 değişen, 4 boyalı	Düz	13 Eylül 2019	12263604	BALIKESİR / BANDIRMA / 17 EYLÜL MAHALLESİ	
1.3 Multijet Dynamic	 27.900 TL 	2006	1248 cc	246.000 km	Dizel	Albea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265353	BARTIN / MERKEZ / KEMER KÖPRÜ MAHALLESİ	
A3 Sedan 1.6 TDI Dynamic	 161.000 TL 	2017	1598 cc	13.000 km	Dizel	A3	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12228267	İSTANBUL / BAĞCILAR / GÖZTEPE MAHALLESİ	
1.2 TSI Sport Coupe FR	 66.500 TL 	2014	1197 cc	92.000 km	Benzin	Ibiza	Galeriden	Seat	Takasa Uygun	2 boyalı	Yarı Otomatik	13 Eylül 2019	12264228	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.5 dCi Joy	 56.250 TL 	2013	1461 cc	130.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	09 Eylül 2019	12197202	HATAY / ANTAKYA / HARAPARASI MAHALLESİ	
